ENTITY,NAME,PUBLIC,PUBLIC NAME,CATEGORY,SHARED,FIELD NAME,FIELD LABEL,FIELD TYPE,ENUM VALUES,MANDATORY,FOREIGN KEY,ALLOW EDIT,ALLOW EDIT ON CREATE,ORIGIN FIELD,ORIGIN TABLE
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressCountryRegionISOCode,Invoice ISO,String (2),,No,No,Yes,Yes,CountryRegionISOCode,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressCounty,Invoice county,String (10),,No,No,Yes,Yes,County,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressDistrictName,Invoice district,String (60),,No,No,Yes,Yes,DistrictName,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressLatitude,Invoice latitude,Real,,No,No,Yes,Yes,Latitude,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressLongitude,Invoice longitude,Real,,No,No,Yes,Yes,Longitude,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressLocationId,Invoice location ID,String (30),,No,No,Yes,Yes,LocationId,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressState,Invoice state,String (10),,No,No,Yes,Yes,State,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressStreet,Invoice street,String (250),,No,No,Yes,Yes,Street,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressStreetNumber,Invoice street number,String (20),,No,No,Yes,Yes,StreetNumber,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressBuildingComplement,Invoice building complement,String (60),,No,No,Yes,Yes,BuildingCompliment,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressValidFrom,Invoice address valid from,UtcDateTime,,No,No,Yes,Yes,ValidFrom,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,InvoiceAddressValidTo,Invoice address valid to,UtcDateTime,,No,No,Yes,Yes,ValidTo,InvoiceLogisticsPostalAddressBaseEntity
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,IsExternallyMaintained,Is externally maintained,Enum,0-No | 1-Yes,No,No,Yes,Yes,IsExternallyMaintained,CustTable
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,MerchantID,Merchant ID,String (60),,No,No,Yes,Yes,MerchantID,TaxInformationCustTable_IN
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,DefaultECommerceOperator,Default E-Commerce operator,String (20),,No,No,Yes,Yes,DefaultECommerceOperator,TaxInformationCustTable_IN
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,CustomerType,Customer type,Enum,0-None | 1-Government company or agency | 2-E-Commerce operator,No,No,Yes,Yes,CustomerType,TaxInformationCustTable_IN
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,FulfillmentPolicyName,Name,String (60),,No,No,Yes,Yes,Name,FulfillmentPolicy
CustCustomerV3Entity,Customers V3,Yes,CustomerV3,Master,No,FulfillmentPolicy,Fulfillment policy,Int64,,No,Yes,Yes,Yes,FulfillmentPolicy,WHSCustTable
